0,1,2
25.72,18.99,18.97
20.34,17.76,16.17
22.58,21.91,23.37
24.1,16.93,19.4
23.12,13.63,18.26
11.56,14.52,11.55
16.57,16.94,16.69
21.06,12.11,13.48
8.98,10.38,8.89
11.65,11.32,12.96
20.9,17.57,16.69
19.3,12.82,14.75
16.91,12.42,11.69
33.89,9.76,11.96
19.68,20.85,20.64
